video_id	source_url	duration_sec	source_platform	hotel_name	hotel_chain	city	country	room_type	bed_visible	bathroom_visible	wall_object_visible	desk_visible	window_visible	video_quality	camera_rotations 	notes
video_39	https://www.youtube.com/watch?v=kejrWxPWzi4		Youtube				Pakistan									
video_40	https://www.youtube.com/watch?v=KuIAc0F3wV4		Youtube				Pakistan									
video_41	https://www.youtube.com/watch?v=RN_Dzj22GI8		Youtube				Pakistan									
video_42	https://www.youtube.com/watch?v=aFjL83HZDDg		Youtube				Pakistan									
video_43	https://www.youtube.com/watch?v=EiZb9UonkaA		Youtube				indonesia									
video_44	https://www.youtube.com/watch?v=0vksPLEdK8g		Youtube				indonesia									
video_45	https://www.youtube.com/watch?v=k48KriZEh74		Youtube				USA									
video_46	https://www.youtube.com/watch?v=WeMVz8CwK7A		Youtube				USA									
video_47	https://www.youtube.com/watch?v=ybs9uU_29R8		Youtube				USA									
video_48	https://www.youtube.com/watch?v=xUxA8rrEzGg		Youtube				USA									
video_49	https://www.youtube.com/watch?v=qDOYCuT0Lec		Youtube				Japan									
video_50	https://www.youtube.com/watch?v=On8HzIXJqv0		Youtube				Japan									
